,origin,dest,carrier,arr_delay,arr_delay,arr_delay,arr_delay,air_time,air_time,air_time,air_time,distance,distance,distance,distance,air_speed (mph),air_speed (mph),air_speed (mph),air_speed (mph),start_long,start_lati,end_long,end_lati
32,EWR,CVG,ExpressJet Airlines Inc.,1717,21.193942923704135,-44.0,349.0,1717,96.4065230052417,62.0,135.0,1818,569.0,569,569,1717,356.84207753517995,252.88888888888889,550.6451612903226,-74.168701171875,40.69250106811523,-84.6678009033,39.0488014221
33,EWR,DAY,ExpressJet Airlines Inc.,1057,18.3841059602649,-42.0,256.0,1057,86.07757805108798,71.0,119.0,1134,533.0,533,533,1057,374.3522153189815,268.7394957983193,450.4225352112676,-74.168701171875,40.69250106811523,-84.21939849853516,39.90240097045898
34,EWR,DCA,ExpressJet Airlines Inc.,1565,21.340575079872206,-37.0,343.0,1565,42.6038338658147,32.0,73.0,1717,199.0,199,199,1565,283.8883289776912,163.56164383561645,373.125,-74.168701171875,40.69250106811523,-77.037697,38.8521
35,EWR,DCA,United Air Lines Inc.,2,0.5,-12.0,13.0,2,43.5,42.0,45.0,2,199.0,199,199,2,274.8095238095238,265.3333333333333,284.2857142857143,-74.168701171875,40.69250106811523,-77.037697,38.8521
36,EWR,DEN,United Air Lines Inc.,2140,5.864953271028037,-63.0,370.0,2140,223.9107476635514,182.0,306.0,2170,1605.0,1605,1605,2140,431.9943737635077,314.7058823529412,529.1208791208792,-74.168701171875,40.69250106811523,-104.672996521,39.861698150635
37,EWR,DEN,Southwest Airlines Co.,675,19.08,-50.0,326.0,675,228.17777777777778,194.0,292.0,689,1605.0,1605,1605,675,424.0669325270519,329.79452054794524,496.39175257731955,-74.168701171875,40.69250106811523,-104.672996521,39.861698150635
38,EWR,DFW,American Airlines Inc.,1946,1.4861253854059608,-67.0,351.0,1946,196.5503597122302,158.0,257.0,2054,1372.0,1372,1372,1946,421.9362942502177,320.3112840466926,521.0126582278481,-74.168701171875,40.69250106811523,-97.03800201416016,32.896800994873054
39,EWR,DFW,United Air Lines Inc.,1068,2.648876404494382,-64.0,406.0,1068,197.99063670411985,159.0,274.0,1094,1372.0,1372,1372,1068,418.9842359549018,300.4379562043796,517.7358490566038,-74.168701171875,40.69250106811523,-97.03800201416016,32.896800994873054
40,EWR,DSM,ExpressJet Airlines Inc.,390,23.54871794871795,-54.0,322.0,390,149.54102564102564,124.0,223.0,411,1017.0,1017,1017,390,410.9664440331994,273.6322869955157,492.09677419354836,-74.168701171875,40.69250106811523,-93.66310119628906,41.53400039672852
41,EWR,DTW,Endeavor Air Inc.,220,2.536363636363636,-39.0,241.0,220,85.6,68.0,107.0,231,488.0,488,488,220,344.72079793132343,273.6448598130841,430.5882352941177,-74.168701171875,40.69250106811523,-83.35340118408203,42.212398529052734
42,EWR,DTW,Delta Air Lines Inc.,413,3.343825665859564,-42.0,364.0,413,84.23486682808716,68.0,110.0,415,488.0,488,488,413,350.2068794838088,266.1818181818182,430.5882352941177,-74.168701171875,40.69250106811523,-83.35340118408203,42.212398529052734
43,EWR,DTW,ExpressJet Airlines Inc.,2373,12.965865992414665,-47.0,419.0,2373,84.86641382216604,67.0,129.0,2529,488.0,488,488,2373,347.5945846527805,226.97674418604652,437.0149253731343,-74.168701171875,40.69250106811523,-83.35340118408203,42.212398529052734
44,EWR,DTW,SkyWest Airlines Inc.,2,68.5,-20.0,157.0,2,84.5,81.0,88.0,2,488.0,488,488,2,347.10437710437714,332.72727272727275,361.48148148148147,-74.168701171875,40.69250106811523,-83.35340118408203,42.212398529052734
45,EWR,DTW,United Air Lines Inc.,1,1.0,1.0,1.0,1,88.0,88.0,88.0,1,488.0,488,488,1,332.72727272727275,332.72727272727275,332.72727272727275,-74.168701171875,40.69250106811523,-83.35340118408203,42.212398529052734
46,EWR,EGE,United Air Lines Inc.,106,-5.349056603773585,-50.0,181.0,106,253.58490566037736,222.0,306.0,110,1725.5363636363636,1725,1726,106,409.83159589109533,338.2352941176471,466.48648648648646,-74.168701171875,40.69250106811523,-106.9179993,39.64260101
47,EWR,FLL,JetBlue Airways,1364,12.140762463343108,-56.0,366.0,1364,150.61290322580646,126.0,220.0,1386,1065.0,1065,1065,1364,426.67437254550777,290.45454545454544,507.1428571428571,-74.168701171875,40.69250106811523,-80.15270233154297,26.072599411010746
48,EWR,FLL,United Air Lines Inc.,2376,5.247053872053872,-49.0,375.0,2376,152.94654882154882,123.0,219.0,2407,1065.0,1065,1065,2376,420.4215004813422,291.7808219178082,519.5121951219512,-74.168701171875,40.69250106811523,-80.15270233154297,26.072599411010746
49,EWR,GRR,ExpressJet Airlines Inc.,688,19.370639534883722,-37.0,340.0,688,96.71511627906976,69.0,151.0,719,605.0,605,605,688,378.147609510781,240.3973509933775,526.0869565217391,-74.168701171875,40.69250106811523,-85.52279663,42.88079834
50,EWR,GSO,ExpressJet Airlines Inc.,1045,17.6622009569378,-33.0,300.0,1045,71.85263157894737,60.0,106.0,1120,445.0,445,445,1045,374.2810691130215,251.8867924528302,445.0,-74.168701171875,40.69250106811523,-79.93730163574219,36.097801208496094
51,EWR,GSP,ExpressJet Airlines Inc.,692,18.143063583815028,-30.0,312.0,692,93.21965317919076,55.0,126.0,745,594.0,594,594,692,385.152070255823,282.85714285714283,648.0,-74.168701171875,40.69250106811523,-82.2189025879,34.895698547399995
52,EWR,HDN,United Air Lines Inc.,14,2.142857142857143,-26.0,43.0,14,248.5,223.0,266.0,15,1728.0,1728,1728,14,418.1100076094969,389.77443609022555,464.93273542600895,-74.168701171875,40.69250106811523,-107.2180023,40.48120117
54,EWR,HOU,Southwest Airlines Co.,948,9.618143459915611,-53.0,345.0,948,205.1740506329114,168.0,267.0,976,1411.0,1411,1411,948,415.8701483032276,317.07865168539325,503.92857142857144,-74.168701171875,40.69250106811523,-95.27890015,29.64539909
55,EWR,IAD,ExpressJet Airlines Inc.,1201,14.832639467110742,-32.0,370.0,1201,46.11906744379684,36.0,88.0,1235,212.0,212,212,1201,279.5321350016453,144.54545454545456,353.33333333333337,-74.168701171875,40.69250106811523,-77.45580292,38.94449997
56,EWR,IAD,United Air Lines Inc.,1,-24.0,-24.0,-24.0,1,44.0,44.0,44.0,1,212.0,212,212,1,289.0909090909091,289.0909090909091,289.0909090909091,-74.168701171875,40.69250106811523,-77.45580292,38.94449997
57,EWR,IAH,United Air Lines Inc.,3923,5.406576599541167,-63.0,374.0,3923,195.84042824369106,161.0,284.0,3973,1400.0,1400,1400,3923,431.75642832962893,295.77464788732397,521.7391304347826,-74.168701171875,40.69250106811523,-95.34140014648438,29.98439979553223
58,EWR,IND,ExpressJet Airlines Inc.,1238,12.280290791599354,-38.0,350.0,1238,102.68659127625202,85.0,157.0,1298,645.0,645,645,1238,379.88412750854786,246.4968152866242,455.2941176470588,-74.168701171875,40.69250106811523,-86.294403,39.7173
59,EWR,IND,United Air Lines Inc.,3,-18.333333333333332,-22.0,-12.0,3,96.0,91.0,99.0,3,645.0,645,645,3,403.69392512249664,390.90909090909093,425.2747252747253,-74.168701171875,40.69250106811523,-86.294403,39.7173
60,EWR,JAC,United Air Lines Inc.,19,29.894736842105264,-17.0,175.0,19,263.2631578947368,248.0,293.0,23,1874.0,1874,1874,19,427.77761738692266,383.7542662116041,453.3870967741935,-74.168701171875,40.69250106811523,-110.73799896240234,43.6072998046875
61,EWR,JAX,ExpressJet Airlines Inc.,1187,15.992417860151642,-38.0,304.0,1187,121.83656276326874,100.0,165.0,1242,820.0,820,820,1187,406.41516068642767,298.1818181818182,492.0,-74.168701171875,40.69250106811523,-81.68789672851562,30.49410057067871
62,EWR,LAS,United Air Lines Inc.,1990,-0.7693467336683417,-69.0,385.0,1990,299.03869346733666,256.0,399.0,2010,2227.0,2227,2227,1990,448.278795723062,334.8872180451128,521.953125,-74.168701171875,40.69250106811523,-115.1520004,36.08010101
63,EWR,LAX,American Airlines Inc.,359,0.9164345403899722,-65.0,316.0,359,331.28133704735376,284.0,389.0,365,2454.0,2454,2454,359,445.7201858814107,378.5089974293059,518.4507042253521,-74.168701171875,40.69250106811523,-118.4079971,33.94250107
64,EWR,LAX,United Air Lines Inc.,3733,3.643986070184838,-75.0,362.0,3733,324.8215912135012,279.0,403.0,3764,2454.0,2454,2454,3733,454.7347090416589,365.35980148883374,527.741935483871,-74.168701171875,40.69250106811523,-118.4079971,33.94250107
65,EWR,LAX,Virgin America,775,0.2567741935483871,-62.0,300.0,775,327.72129032258067,285.0,388.0,783,2454.0,2454,2454,775,450.58835604249515,379.4845360824742,516.6315789473684,-74.168701171875,40.69250106811523,-118.4079971,33.94250107
66,EWR,LGA,US Airways Inc.,0,,,,0,,,,1,17.0,17,17,0,,,,-74.168701171875,40.69250106811523,-73.87259674,40.77719879
67,EWR,MCI,ExpressJet Airlines Inc.,1276,20.239811912225704,-47.0,456.0,1276,162.6998432601881,134.0,240.0,1356,1092.0,1092,1092,1276,405.96340650487366,273.0,488.955223880597,-74.168701171875,40.69250106811523,-94.713898,39.2976
68,EWR,MCO,JetBlue Airways,1702,12.525851938895418,-48.0,497.0,1702,132.9494712103408,110.0,188.0,1724,937.0,937,937,1702,425.595978813493,299.0425531914894,511.0909090909091,-74.168701171875,40.69250106811523,-81.30899810791016,28.429399490356445
69,EWR,MCO,United Air Lines Inc.,3191,-0.8113444061422751,-53.0,383.0,3191,135.52491382011908,109.0,198.0,3217,937.0,937,937,3191,417.15796519753,283.93939393939394,515.7798165137615,-74.168701171875,40.69250106811523,-81.30899810791016,28.429399490356445
70,EWR,MDW,Southwest Airlines Co.,1988,13.710764587525151,-38.0,385.0,1988,110.8943661971831,92.0,179.0,2043,711.0,711,711,1988,387.2810391194928,238.3240223463687,463.695652173913,-74.168701171875,40.69250106811523,-87.75240325927734,41.7859992980957
71,EWR,MEM,ExpressJet Airlines Inc.,845,19.907692307692308,-47.0,275.0,845,144.98224852071007,118.0,189.0,926,946.0,946,946,845,394.66502550884036,300.3174603174603,481.0169491525424,-74.168701171875,40.69250106811523,-89.97669982910156,35.04240036010742
72,EWR,MHT,ExpressJet Airlines Inc.,824,14.428398058252426,-33.0,335.0,824,38.911407766990294,31.0,58.0,867,209.0,209,209,824,323.9619818215444,216.20689655172413,404.51612903225805,-74.168701171875,40.69250106811523,-71.43569946289062,42.93259811401367
73,EWR,MIA,American Airlines Inc.,1058,0.06332703213610585,-54.0,878.0,1058,150.20604914933838,125.0,214.0,1068,1085.0,1085,1085,1058,435.50864568605004,304.2056074766355,520.8,-74.168701171875,40.69250106811523,-80.29060363769531,25.79319953918457
74,EWR,MIA,United Air Lines Inc.,1548,6.655684754521964,-49.0,401.0,1548,153.55684754521963,126.0,212.0,1565,1085.0,1085,1085,1548,426.1752564675679,307.07547169811323,516.6666666666666,-74.168701171875,40.69250106811523,-80.29060363769531,25.79319953918457
75,EWR,MKE,ExpressJet Airlines Inc.,1058,24.003780718336483,-44.0,441.0,1058,115.37240075614366,93.0,173.0,1094,725.0,725,725,1058,379.5930019336895,251.44508670520233,467.741935483871,-74.168701171875,40.69250106811523,-87.89659881591797,42.94720077514648
76,EWR,MSN,ExpressJet Airlines Inc.,345,23.19710144927536,-31.0,337.0,345,124.2463768115942,105.0,163.0,354,799.0,799,799,345,388.56047452144617,294.11042944785277,456.57142857142856,-74.168701171875,40.69250106811523,-89.3375015258789,43.13990020751953
77,EWR,MSP,Endeavor Air Inc.,173,1.5953757225433527,-37.0,223.0,173,156.80346820809248,128.0,195.0,178,1008.0,1008,1008,173,388.05898604634376,310.15384615384613,472.5,-74.168701171875,40.69250106811523,-93.22180175780001,44.8819999695
78,EWR,MSP,Delta Air Lines Inc.,415,2.8626506024096385,-45.0,489.0,415,144.83373493975904,123.0,187.0,420,1008.0,1008,1008,415,419.44792960405675,323.42245989304814,491.70731707317077,-74.168701171875,40.69250106811523,-93.22180175780001,44.8819999695
79,EWR,MSP,ExpressJet Airlines Inc.,1661,10.527995183624324,-49.0,389.0,1661,151.64419024683926,93.0,202.0,1773,1008.0,1008,1008,1661,401.18504682592004,299.4059405940594,650.3225806451612,-74.168701171875,40.69250106811523,-93.22180175780001,44.8819999695
80,EWR,MSP,SkyWest Airlines Inc.,4,-2.0,-24.0,27.0,4,163.0,152.0,177.0,4,1008.0,1008,1008,4,372.28748285755967,341.6949152542373,397.89473684210526,-74.168701171875,40.69250106811523,-93.22180175780001,44.8819999695
81,EWR,MSP,United Air Lines Inc.,2,-5.5,-9.0,-2.0,2,155.5,153.0,158.0,2,1008.0,1008,1008,2,389.03946388682056,382.7848101265823,395.29411764705884,-74.168701171875,40.69250106811523,-93.22180175780001,44.8819999695
82,EWR,MSY,ExpressJet Airlines Inc.,564,9.331560283687944,-56.0,281.0,564,168.354609929078,140.0,230.0,588,1167.0,1167,1167,564,419.1769772952038,304.4347826086956,500.1428571428571,-74.168701171875,40.69250106811523,-90.25800323486328,29.99340057373047
83,EWR,MSY,United Air Lines Inc.,265,-2.841509433962264,-65.0,251.0,265,166.94716981132075,136.0,208.0,269,1167.0,1167,1167,265,422.3130273450714,336.63461538461536,514.8529411764706,-74.168701171875,40.69250106811523,-90.25800323486328,29.99340057373047
84,EWR,MSY,Southwest Airlines Co.,296,19.89189189189189,-57.0,399.0,296,165.61486486486487,142.0,209.0,298,1167.0,1167,1167,296,425.36417997678205,335.02392344497605,493.09859154929575,-74.168701171875,40.69250106811523,-90.25800323486328,29.99340057373047
85,EWR,MTJ,United Air Lines Inc.,14,1.7857142857142858,-32.0,101.0,14,254.35714285714286,231.0,288.0,15,1795.0,1795,1795,14,424.53964260603755,373.95833333333337,466.23376623376623,-74.168701171875,40.69250106811523,-107.89399719200001,38.5097999573
86,EWR,MYR,ExpressJet Airlines Inc.,55,5.0181818181818185,-37.0,207.0,55,87.43636363636364,73.0,101.0,56,550.0,550,550,55,379.57757149055925,326.73267326732673,452.054794520548,-74.168701171875,40.69250106811523,-78.9282989502,33.6796989441
87,EWR,OKC,ExpressJet Airlines Inc.,315,30.61904761904762,-49.0,262.0,315,193.0095238095238,162.0,286.0,346,1325.0,1325,1325,315,415.67964169171324,277.972027972028,490.7407407407407,-74.168701171875,40.69250106811523,-97.60070037841795,35.39310073852539
88,EWR,OMA,ExpressJet Airlines Inc.,724,14.917127071823204,-44.0,364.0,724,165.98618784530387,139.0,218.0,752,1134.0,1134,1134,724,412.6949147533348,312.11009174311926,489.4964028776978,-74.168701171875,40.69250106811523,-95.89409637451172,41.303199768066406
89,EWR,OMA,United Air Lines Inc.,2,-20.5,-24.0,-17.0,2,143.0,142.0,144.0,2,1134.0,1134,1134,2,475.8274647887324,472.5,479.15492957746477,-74.168701171875,40.69250106811523,-95.89409637451172,41.303199768066406
90,EWR,ORD,ExpressJet Airlines Inc.,2,17.5,0.0,35.0,2,123.5,123.0,124.0,2,719.0,719,719,2,349.3174665617624,347.9032258064516,350.7317073170732,-74.168701171875,40.69250106811523,-87.90480042,41.97859955
91,EWR,ORD,Envoy Air,2097,16.307105388650452,-53.0,1109.0,2097,112.1444921316166,92.0,182.0,2276,719.0,719,719,2097,387.31185682299554,237.03296703296704,468.9130434782608,-74.168701171875,40.69250106811523,-87.90480042,41.97859955
92,EWR,ORD,United Air Lines Inc.,3729,4.882005899705015,-59.0,398.0,3729,113.88227406811478,87.0,198.0,3822,719.0,719,719,3729,381.58020629019444,217.8787878787879,495.86206896551727,-74.168701171875,40.69250106811523,-87.90480042,41.97859955
93,EWR,ORF,ExpressJet Airlines Inc.,541,12.5637707948244,-44.0,285.0,541,51.22920517560074,37.0,89.0,584,284.0,284,284,541,335.68636957468857,191.46067415730337,460.5405405405405,-74.168701171875,40.69250106811523,-76.20120239257812,36.89459991455078
94,EWR,PBI,JetBlue Airways,509,16.691552062868368,-32.0,258.0,509,143.75638506876228,123.0,205.0,512,1023.0,1023,1023,509,429.42003945833534,299.4146341463415,499.0243902439025,-74.168701171875,40.69250106811523,-80.09559631347656,26.68320083618164
95,EWR,PBI,United Air Lines Inc.,1825,5.409315068493151,-49.0,402.0,1825,145.26958904109588,119.0,205.0,1839,1023.0,1023,1023,1825,424.9745664054142,299.4146341463415,515.7983193277311,-74.168701171875,40.69250106811523,-80.09559631347656,26.68320083618164
96,EWR,PDX,United Air Lines Inc.,563,1.1065719360568385,-70.0,309.0,563,329.4404973357016,283.0,391.0,571,2434.0,2434,2434,563,444.3994359786248,373.50383631713555,516.0424028268551,-74.168701171875,40.69250106811523,-122.5979996,45.58869934
97,EWR,PHL,ExpressJet Airlines Inc.,48,16.541666666666668,-25.0,136.0,48,28.666666666666668,21.0,39.0,49,80.0,80,80,48,170.792668958573,123.07692307692307,228.57142857142858,-74.168701171875,40.69250106811523,-75.24109649658203,39.87189865112305
98,EWR,PHX,United Air Lines Inc.,1111,0.40054005400540055,-62.0,314.0,1111,290.990099009901,244.0,352.0,1120,2133.0,2133,2133,1111,441.4603464153127,363.5795454545455,524.5081967213115,-74.168701171875,40.69250106811523,-112.01200103759766,33.43429946899414
99,EWR,PHX,US Airways Inc.,1149,1.134029590948651,-60.0,393.0,1149,286.59791122715404,243.0,351.0,1172,2133.0,2133,2133,1149,448.3347763820114,364.61538461538464,526.6666666666667,-74.168701171875,40.69250106811523,-112.01200103759766,33.43429946899414
100,EWR,PHX,Southwest Airlines Co.,425,14.016470588235293,-51.0,363.0,425,297.5882352941176,257.0,362.0,431,2133.0,2133,2133,425,431.8296945442983,353.53591160221,497.9766536964981,-74.168701171875,40.69250106811523,-112.01200103759766,33.43429946899414
101,EWR,PIT,ExpressJet Airlines Inc.,529,5.6918714555765595,-34.0,324.0,529,57.054820415879014,48.0,87.0,557,319.0,319,319,529,337.68150617827575,220.0,398.75,-74.168701171875,40.69250106811523,-80.23290253,40.49150085
102,EWR,PIT,United Air Lines Inc.,2,2.5,-14.0,19.0,2,57.5,57.0,58.0,2,319.0,319,319,2,332.89473684210526,330.0,335.7894736842105,-74.168701171875,40.69250106811523,-80.23290253,40.49150085
103,EWR,PVD,ExpressJet Airlines Inc.,358,16.23463687150838,-32.0,285.0,358,32.667597765363126,27.0,52.0,376,160.0,160,160,358,296.61520854470484,184.6153846153846,355.55555555555554,-74.168701171875,40.69250106811523,-71.42040252685547,41.73260116577149
104,EWR,PWM,ExpressJet Airlines Inc.,730,23.005479452054793,-35.0,310.0,730,48.727397260273975,38.0,78.0,770,284.0,284,284,730,351.68847838012294,218.46153846153845,448.42105263157896,-74.168701171875,40.69250106811523,-70.30930328,43.64619827
105,EWR,RDU,ExpressJet Airlines Inc.,1416,12.630649717514125,-35.0,415.0,1416,69.62358757062147,57.0,104.0,1481,416.0,416,416,1416,360.89321176824046,240.0,437.89473684210526,-74.168701171875,40.69250106811523,-78.7874984741211,35.877601623535156
106,EWR,RDU,United Air Lines Inc.,1,56.0,56.0,56.0,1,62.0,62.0,62.0,1,416.0,416,416,1,402.5806451612903,402.5806451612903,402.5806451612903,-74.168701171875,40.69250106811523,-78.7874984741211,35.877601623535156
107,EWR,RIC,ExpressJet Airlines Inc.,1615,25.820433436532507,-35.0,463.0,1615,53.54365325077399,35.0,100.0,1667,277.0,277,277,1615,313.1406954075861,166.2,474.85714285714283,-74.168701171875,40.69250106811523,-77.3197021484375,37.50519943237305
108,EWR,ROC,ExpressJet Airlines Inc.,488,20.66393442622951,-32.0,387.0,488,45.334016393442624,38.0,66.0,513,246.0,246,246,488,327.68806764506854,223.63636363636363,388.42105263157896,-74.168701171875,40.69250106811523,-77.67240142822266,43.118900299072266
109,EWR,RSW,JetBlue Airways,363,-6.9393939393939394,-42.0,210.0,363,155.45454545454547,133.0,188.0,365,1068.0,1068,1068,363,413.9212863416557,340.8510638297872,481.8045112781955,-74.168701171875,40.69250106811523,-81.75520324707031,26.53619956970215
